language,glottolog,sortclass,family,genus.print,genus.WALS,printname,Oc.printname,print,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,area.glottolog,area.WALS,ref.NomPers,NomPers,APC,WO.WALS,WO,adpos.manual,adpos.WALS,adpos,genitive.WALS,genitive,DemDir.WALS,DemDir.manual,DemDir,ArtOrder,Art.with.Nompers,APC.dir,boundPers,boundPers.simultAPC,PPDC,PPDC.ref
Malagasy,mala1537,"Austronesian, Basap-Greater Barito",Austronesian,"Austronesian, Barito",Barito,Malagasy,Malagasy,1,-19.59,47.12,-0.1,0.5,0.5,-0.8,Africa,Africa,Travis &Paul 2019,y,y,VO,VO,pre,pre,pre,NGen,NGen,both,DemN,both,ArtN,n,pre,n,NA,y,Paul & Travis 2019:422
Indonesian,indo1316,"Austronesian, Malayic",Austronesian,"Austronesian, Malayo-Sumbawan",Malayo-Sumbawan,Indonesian,Indonesian,1,-7.33458,109.716,1.1,0.4,1.1,0.4,Papunesia,Papunesia,Sneddon 1996:170,y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,y-nn,Sneddon 1996:169
Papuan Malay,papu1250,"Austronesian, Malayic",Austronesian,"Austronesian, Malayo-Sumbawan",Malayo-Sumbawan,NA,Papuan Malay,1,-2.53482,139.651,0.5,-0.7,0.5,-0.8,Papunesia,Papunesia,Kluge 2017:ch. 6.2,y,y,NA,VO,pre,NA,pre,NA,GenN,NA,NDem,NDem,NA,NA,post,n,NA,y,"Kluge 2017:353, (66/67)"
Loniu,loni1238,"Austronesian, Oceanic, Admiralty Islands",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Loniu,1,-2.06124,147.35,0,-0.7,0.5,-0.7,Papunesia,Papunesia,Hamel 1994:90 (sec. 4.2.1),y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,y,Hamel 1994:100
Windesi Wamesa (Wandamen),wame1241,"Austronesian, Oceanic, Greater South Halmahera-West New Guinea",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Windesi Wamesa,1,-2.25622,133.996,0.6,1.6,0.25,1.6,Papunesia,Papunesia,Gasser 2014:144,y,n,NA,VO,pre,NA,pre,NA,GenN,NA,NDem,NDem,NArt,y,NA,post,NA,NA,NA
Maori,maor1246,"Austronesian, Oceanic, Polynesian",Austronesian,"Austronesian, Oceanic",Oceanic,Maori,Maori,1,-38.2881,176.541,0.5,-0.8,0.5,-0.7,Papunesia,Papunesia,"(Q) Bauer 1993:368, 373; Bauer 1997:262f.",y,y,VO,VO,pre,pre,pre,NGen,NGen,mixed,DemN,mixed,ArtN,y,pre,n,NA,y-nn,Bauer 1997:263f.
Tuvaluan,tuva1244,"Austronesian, Oceanic, Polynesian",Austronesian,"Austronesian, Oceanic",Oceanic,Tuvaluan,Tuvaluan,1,-8.520813,179.198088,0.7,1.6,0.6,-0.7,Papunesia,Papunesia,(Q) Besnier 2000:392f.,y,y,OV,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,ArtN,y,pre,n,NA,y-nn,Besnier 2000:409
Kwaio,kwai1243,"Austronesian, Oceanic, Southeast Solomonic",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Kwaio,1,-8.93744,160.965,-0.2,0.1,-0.2,0.5,Papunesia,Papunesia,Keesing 1985:104,y,y,VO,VO,pre,pre,pre,NA,NGen,NDem,NDem,NDem,ArtN,unclear,pre,n,NA,NA,NA
Arop-Lokep,arop1243,"Austronesian, Oceanic, Western Oceanic linkage",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Arop-Lokep,1,-5.31671,147.103,-0.2,0.4,-0.1,0.5,Papunesia,Papunesia,D’Jernes 2002:255,y,y,VO,VO,pre,pre,pre,NoDom,NoDom,NDem,NDem,NDem,NA,NA,pre,n,NA,y,D’Jernes 2002:255
Cheke Holo,chek1238,"Austronesian, Oceanic, Western Oceanic linkage",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Cheke Holo,1,-8.27055,159.625,0.5,-0.7,0.2,1.7,Papunesia,Papunesia,Boswell 2018:165,y,y,NA,VO,pre,NA,pre,NA,NGen,NA,NDem,NDem,NA,NA,pre,n,NA,y,Boswell 2018:165
Hoava,hoav1238,"Austronesian, Oceanic, Western Oceanic linkage",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Hoava,1,-8.19679,157.595,0.9,1.6,0.5,1.7,Papunesia,Papunesia,"Davis 2003:47, Palmer 2017",y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,ArtN,n,pre,n,NA,y,Davis 2003:48
Kokota,koko1269,"Austronesian, Oceanic, Western Oceanic linkage",Austronesian,"Austronesian, Oceanic",Oceanic,NA,Kokota,1,-8.16481,159.191,-0.2,-0.7,0.7,-0.75,Papunesia,Papunesia,"Palmer 2008:68, 95, (115), 116, 119, 123, 131, 137, 163, 242, 300, 305, 327, 399, 414",y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,NDem,NDem,ArtN,y,pre,n,NA,y,Palmer 2008:116
Hixkaryana,hixk1239,Carib,Carib,Cariban,Cariban,Hixkaryana,Hixkaryana,,-0.16265,-58.80153,0.5,-0.7,0.5,-0.7,South America,South America,(Q) Derbyshire 1979:131,n,n,OV,OV,post,post,post,GenN,GenN,,NA,,n,NA,NA,,n,NA,
Wari',wari1268,Chapacuran,Chapacuran,Chapacura-Wanham,Chapacura-Wanham,Wari',Wari',1,-10.69948,-64.56152,0.5,-0.8,0.5,-0.7,South America,South America,"(Q) Everett&Kern 1997:303, 310",y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Chitimacha,chit1248,Chitimacha,Chitimacha,Chitimacha,Chitimacha,Chitimacha,Chitimacha,1,30.3386,-90.9123,-0.15,0.5,NA,NA,North America,North America,Swadesh 1967:333,y,y,OV,OV,post,post,post,GenN,GenN,NA,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Ndyuka,ndyu1242,"Creole, English-based",Creole,Creoles and Pidgins,Creoles and Pidgins,Ndyuka,Ndyuka,1,4.3126,-54.6419,0.5,-0.8,0.5,-0.7,South America,South America,"(Q) Huttar&Huttar 1994:224, 460, 466f.",y,y,VO,VO,pre,pre,pre,NoDom,NoDom,NDem,DemN,NDem,ArtN,n,pre,n,NA,y-nn,"Huttar & Huttar 1994:203, 329"
Nigerian Pidgin,nige1257,"Creole, English-based",Creole,Creoles and Pidgins,Creoles and Pidgins,Nig.Pidgin,Nig.Pidg.,1,9.65873,4.21068,0.85,1.65,0.7,1.6,Africa,Africa,"(Q) Faraclas 1996:178, 181",y,y,NA,VO,pre,NA,pre,NA,GenN,NA,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Kristang,mala1533,"Creole, Portuguese-based",Creole,Creoles and Pidgins,Creoles and Pidgins,Kristang,Kristang,1,2.188087,102.262059,0.5,-0.7,0.5,1.7,Papunesia,Eurasia,Baxter 1988:86,y,y,NA,VO,pre,NA,pre,NA,GenN,NA,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Kannada,nucl1305,Dravidian,Dravidian,Dravidian,Dravidian,Kannada,Kannada,1,13.5878,76.1198,1.2,0.4,1.1,0.4,Eurasia,Eurasia,"(Q) Sridhar 1990:205, 208f.",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Malayalam,mala1464,Dravidian,Dravidian,Dravidian,Dravidian,Malayalam,Malayalam,1,9.59208,76.7651,1.1,0.8,1.1,0.8,Eurasia,Eurasia,(Q) Asher&Kumari 1997:262f.,y,y,OV,OV,post,NA,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Tamil,tami1289,Dravidian,Dravidian,Dravidian,Dravidian,Tamil,Tamil,1,10.520219,78.825989,-0.15,0.4,0,-0.7,Eurasia,Eurasia,"(Q) Asher 1985:142, 146",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Kalaallisut (W. Greenlandic),kala1399,Eskimo-Aleut,Eskimo-Aleut,Eskimo,Eskimo,Kalaallisut,Kalaallisut,1,69.3761,-52.864,0.5,1.6,0.5,1.6,North America,Eurasia,"(Q) Fortescue 1984:110, 253, 256f.",y,y,OV,OV,post,post,post,GenN,GenN,mixed,both,mixed,NA,NA,post,n,NA,NA,NA
Welsh,wels1247,"IE, Celtic, Brittonic",IE,"\gls{ie}, Celtic",Celtic,Welsh,Welsh,1,52,-4,1.2,0.5,1.2,0.5,Eurasia,Eurasia,David Willis (p.c.),y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,ArtN,n,pre,n,NA,NA,NA
Danish,dani1285,"IE, Germanic, North",IE,"\gls{ie}, Germanic",Germanic,Danish,Danish,1,54.8655,9.36284,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,Johannessen 2008; Schröter 2021,y,y,VO,VO,pre,pre,pre,GenN,GenN,DemN,DemN,DemN,NA,n,pre,n,NA,NA,NA
Icelandic,icel1247,"IE, Germanic, North",IE,"\gls{ie}, Germanic",Germanic,Icelandic,Icelandic,1,63.4837,-19.0212,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,Johannessen 2008;  Siggurdsson & Wood 2020:11f.,y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,NA,n,pre,n,NA,NA,NA
Norwegian,norw1258,"IE, Germanic, North",IE,"\gls{ie}, Germanic",Germanic,Norwegian,Norwegian,1,61,8,0.5,-0.8,0.7,-0.7,Eurasia,Eurasia,"Julien 2005:127, 129; Johannessen 2008",y,y,VO,VO,pre,pre,pre,NoDom,NoDom,DemN,DemN,DemN,NA,y,pre,n,NA,NA,NA
Swedish,swed1254,"IE, Germanic, North",IE,"\gls{ie}, Germanic",Germanic,Swedish,Swedish,1,59.800634,17.389526,-0.15,0.3,-0.1,0.3,Eurasia,Eurasia,Julien 2005:128; Johannessen 2008,y,y,VO,VO,pre,pre,pre,GenN,GenN,DemN,DemN,DemN,NA,n,pre,n,NA,NA,NA
Dutch,dutc1256,"IE, Germanic, West",IE,"\gls{ie}, Germanic",Germanic,Dut,Dut,1,52,5,0.5,-0.7,0.5,-0.5,Eurasia,Eurasia,Corver 2008:52,y,y,No dominant order,OV,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
English,stan1293,"IE, Germanic, West",IE,"\gls{ie}, Germanic",Germanic,Eng,Eng,1,53,-1,0.6,-0.8,0.6,-0.7,Eurasia,Eurasia,Postal 1969; Delorme & Dougherty 1972;  Sommerstein 1972;  Pesetsky 1978;  Keizer 2016 ,y,y,VO,VO,pre,pre,pre,NoDom,NoDom,DemN,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
German,stan1295,"IE, Germanic, West",IE,"\gls{ie}, Germanic",Germanic,Ger,Ger,1,52,10,0.5,1.6,0.5,1.6,Eurasia,Eurasia,"Lawrenz 1993:ch. 6; Rauh 2003, 2004; Roehrs 2005",y,y,No dominant order,OV,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Calabrian Greek,aspr1238,"IE, Greek",IE,"\gls{ie}, Greek",Greek,5,19,1,38.0166,15.88621,-0.6,0.3,-0.2,0.6,Eurasia,Eurasia,"Höhn, Silvestri & Squillaci 2017:274",y,y,NA,VO,pre,NA,pre,NA,NGen,NA,DemN,DemN,ArtN,y,pre,n,NA,NA,NA
Greek,mode1248,"IE, Greek",IE,"\gls{ie}, Greek",Greek,Greek,20,1,38.36,23.13,0.1,1.6,0.1,1.6,Eurasia,Eurasia,Choi 2014:chs. 1+2;  Höhn 2016:sec. 5,y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,ArtN,y,pre,n,NA,NA,NA
Kashmiri,kash1277,"IE, Indo-Aryan",IE,"\gls{ie}, Indic",Indic,Kashmiri,Kashmiri,1,34.166825,74.330455,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,(Q) Wali&Koul 1997:200,y,y,VO,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Marathi,mara1378,"IE, Indo-Aryan",IE,"\gls{ie}, Indic",Indic,Marathi,Marathi,1,17.9344,76.6665,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,(Q) Pandharipande 1997:386,y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Punjabi,west2386,"IE, Indo-Aryan",IE,"\gls{ie}, Indic",Indic,Punjabi,Punjabi,1,30.0948,75.3474,-0.2,0.5,-0.2,-0.7,Eurasia,Eurasia,(Q) Bhatia 1993:228,y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Persian,west2369,"IE, Indo-Iranian",IE,"\gls{ie}, Iranian",Iranian,Persian,Persian,1,32.9,53.3,-0.2,0.5,-0.1,0.7,Eurasia,Eurasia,"(Q) Mahootian 1997:209, 212",y,y,OV,OV,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Aromanian,arom1237,"IE, Romance, East",IE,"\gls{ie}, Romance",Romance,4,21,1,40.616,21.2,1.2,-0.5,-0.2,0.8,Eurasia,Eurasia,"Höhn 2016: 546, 560",y,y,NA,VO,pre,NA,pre,NA,NGen,NA,DemN,DemN,NArt,y,pre,n,NA,NA,NA
Romanian,roma1327,"IE, Romance, East",IE,"\gls{ie}, Romance",Romance,Romanian,Romanian,1,46.3913,24.2256,-0.1,-0.2,-0.1,0.2,Eurasia,Eurasia,"(Q) Mallinson 1986:255, 258; Cornilescu & Nicolae 2014:6, 10, 20f.",y,y,VO,VO,pre,pre,pre,NGen,NGen,mixed,DemN,mixed,NArt,y,pre,n,NA,NA,NA
