language,glottolog,sortclass,family,genus.print,genus.WALS,printname,Oc.printname,print,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,area.glottolog,area.WALS,ref.NomPers,NomPers,APC,WO.WALS,WO,adpos.manual,adpos.WALS,adpos,genitive.WALS,genitive,DemDir.WALS,DemDir.manual,DemDir,ArtOrder,Art.with.Nompers,APC.dir,boundPers,boundPers.simultAPC,PPDC,PPDC.ref
Polish,poli1260,"IE, Slavic, West",IE,"\gls{ie}, Slavic",Slavic,Polish,Polish,1,51.8439,18.6255,-0.15,0.4,0.5,-0.7,Eurasia,Eurasia,Rutkowski 2002:161,y,y,VO,VO,pre,pre,pre,NGen,NGen,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Basque,basq1248,isolate,isolate-Bas,Basque,Basque,Basque,Basque,1,43.2787,-1.31622,0.7,-0.9,0.7,-0.7,Eurasia,Eurasia,"(Q) Saltarelli 1988:210; Trask 2003:122; De Rijk 2008:482, 501f.; Areta 2009:67; Artiagoitia 2012",y,n,OV,OV,post,post,post,GenN,GenN,NDem,NDem,NDem,NArt,n,NA,post,pre,NA,NA
Khoekhoe (Nama),nama1264,"Khoe-Kwadi, Khoekhoe",Khoe-Kwadi,Khoe-Kwadi,Khoe-Kwadi,Khoekhoe/Nama,Khoekhoe (Nama),1,-25.0747,17.9767,0.5,1.6,0.5,-0.7,Africa,Africa,"Rust 1965:18; Böhm 1985:133-145; Haacke 1976,1977, 2013; Maho 1998:140; Lyons 1999: 142f., 311; Himmelmann 1997: 215f.",y,n,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,ArtN,y,NA,post,pre,y,Haacke 1977:54
Khwe/Kxoe,kxoe1243,"Khoe-Kwadi, West-Kxoe",Khoe-Khwadi,Khoe-Kwadi,Khoe-Kwadi,Khwe,Khwe,1,-16.59051,22.599835,0.5,-0.8,0.5,-0.7,Africa,Africa,"Kilian-Hatz2008:40-43, 79",y,n,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,ArtN,y,NA,post,pre,y,"Kilian-Hatz 2008:41, (2/3); 49, (25)"
Kinyarwanda,kiny1244,"Niger-Congo, Bantu",Niger-Congo,"Niger-Congo, Bantu",Bantu,1,Kinyarwanda,1,-1.56771,29.6441,0.5,1.6,0.5,-0.7,Africa,Africa,van der Wal 2022:68f.,y,y,VO,VO,pre,pre,pre,NA,NGen,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Luganda,gand1255,"Niger-Congo, Bantu",Niger-Congo,"Niger-Congo, Bantu",Bantu,Luganda,Luganda,1,0.66884,32.15153,0.1,-0.7,0.5,-0.7,Africa,Africa,Ashton et al. 1954:102,y,y,NA,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Nkore-Kiga,nkor1241,"Niger-Congo, Bantu",Niger-Congo,"Niger-Congo, Bantu",Bantu,Nkore-Kiga,Nkore-Kiga,1,-1.04,29.91,1.1,0.1,0.5,-0.7,Africa,Africa,(Q) Taylor 1985:131,y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Nzadi,nzad1234,"Niger-Congo, Bantu",Niger-Congo,"Niger-Congo, Bantu",Bantu,Nzadi,Nzadi,1,-4.102208,20.194462,1.2,0.5,NA,NA,Africa,Africa,"Crane et al. 2011:210, 279",y,y,NA,VO,pre,NA,pre,NA,NGen,NA,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Swahili,swah1253,"Niger-Congo, Bantu",Niger-Congo,"Niger-Congo, Bantu",Bantu,Swahili,Swahili,1,-8.25605,37.624,-0.2,0.5,0.5,-0.7,Africa,Africa,NA,y,y,VO,VO,pre,pre,pre,NGen,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Babungo,veng1238,"Niger-Congo, Grassfields Bantu",Niger-Congo,"Niger-Congo, Wide Grassfields",Wide Grassfields,Babungo,Babungo,1,6.11403,10.4137,-0.1,0.5,0.3,1.6,Africa,Africa,Schaub 1985:197f.,y,y,VO,VO,pre,pre,pre,NA,NGen,NDem,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Koromfe,koro1298,"Niger-Congo, Gur",Niger-Congo,"Niger-Congo, Koromfe",Koromfe,Koromfe,Koromfe,1,14.046,-1.96187,0.5,-0.7,0.5,-0.7,Africa,Africa,"Rennison 1997:242, 250f.",y,y,VO,VO,both,NoDom,NoDom,GenN,GenN,NDem,NDem,NDem,ArtN,y,pre,n,NA,y,John Rennison (p.c.)
Supyire,supy1237,"Niger-Congo, Senufo",Niger-Congo,"Niger-Congo, Senufo",Senufo,Supyire,Supyire,1,11.632,-5.87709,1.2,0.4,1.1,0.5,Africa,Africa,Carlson 1994:207f.,y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NArt,y,pre,n,NA,NA,NA
Lezgian,lezg1247,North East Caucasian,North East Caucasian,Lezgic,Lezgic,Lezgian,Lezgian,1,41.5157,47.8951,-0.2,0.5,0,1.5,Eurasia,Eurasia,Haspelmath 1993:259,y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Abkhaz,abkh1244,North West Caucasian,North West Caucasian,Northwest Caucasian,Northwest Caucasian,Abkhaz,Abkhaz,1,43.056218,41.159115,-0.1,-0.4,-0.1,0.1,Eurasia,Eurasia,"Hewitt 1989:157, 159",y,y,OV,OV,post,post,post,GenN,GenN,DemN,DemN,DemN,ArtN,y,pre,n,NA,NA,NA
East Geshiza,gesh1238,"Sino-Tibetan, Burmo-Qiangic, Na-Qiangic, Qiangic, Gyalrongic, Horpa-Khroskyabs, Horpa",Sino-Tibetan,"Sino-Tibetan, Burmo-Qiangic",Burmo-Qiangic,E.Geshiza,E.Geshiza,1,31.1026,101.72,0.5,-0.7,NA,NA,Eurasia,Eurasia,"Honkasalo 2019:388, 400, 438, 480, 507, 646",y,y,NA,OV,post,NA,post,NA,GenN,NA,DemN,DemN,NA,NA,post,n,NA,y,"Honkasalo 2019:301f.,400"
Mandarin,mand1415,"Sino-Tibetan, Chinese",Sino-Tibetan,"Sino-Tibetan, Chinese",Chinese,Mandarin,Mandarin,1,40.0209,116.228,1.15,0.5,0.5,-0.7,Eurasia,Eurasia,"Boskovic & Hsieh 2013:sec. 7.3, Huang et al. 2009: 297-299",y,y,VO,VO,both,NoDom,NoDom,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,y,"Huang et al. 2009, 298f."
Lakkia,lakk1238,"Tai-Kadai, Kam-Tai",Tai-Kadai,Kadai,Kadai,Lakkia,Lakkia,1,24.1169,110.106,-0.2,0.4,NA,NA,Eurasia,Eurasia,Fan 2019:137,y,y,NA,VO,pre,NA,pre,NA,GenN,NA,NDem,NDem,NA,NA,pre,n,NA,NA,NA
Hungarian,hung1274,Ugric,Uralic,"Uralic, Ugric",Ugric,Hung,Hungarian,1,46.9068585714,19.6555271429,0.5,-0.8,0.5,-0.7,Eurasia,Eurasia,"Kenesei,Vago&Fenyvesi 1998:269; Höhn 2016:559",y,y,VO,VO,post,post,post,GenN,GenN,DemN,DemN,DemN,ArtN,n,pre,n,NA,NA,NA
Finnish,finn1318,"Uralic, Finnic",Uralic,"Uralic, Finnic",Finnic,Finnish,Finnish,1,64.7628,25.5577,0.5,-0.7,0.5,-0.7,Eurasia,Eurasia,Sulkala&Karjalainen 1992:277,y,y,VO,VO,post,post,post,GenN,GenN,DemN,DemN,DemN,NA,NA,pre,n,NA,NA,NA
Classical Nahuatl,clas1250,"Uto-Aztecan, Aztecan",Uto-Aztecan,Aztecan,Aztecan,Classical Nahuatl,Classical Nahuatl,1,19.72,-96.97,-0.1,0.5,0.5,-0.7,North America,North America,Andrews 1975:192-194;  Andrews 2003:ch. 17.3,y,n,NA,NC,post,NA,NoAdpos,NA,unclear,NA,both,mixed,NA,NA,NA,pre,NA,NA,NA
